Time,C/P,Side,Type,Strike,Stock,Expiration,Prems
13:58:58,CALL,BB,SWEEP,187.5,FB190830C00187500,08/30/2019,25110
14:34:15,CALL,A,SWEEP,190,FB191115C00190000,11/15/2019,698617
14:39:24,CALL,AA,SWEEP,185,FB190830C00185000,08/30/2019,57800
14:40:42,PUT,B,SWEEP,180,FB210115P00180000,01/15/2021,1109000
15:07:03,CALL,B,SWEEP,190,FB190906C00190000,09/06/2019,26001.9
15:07:20,CALL,B,SWEEP,190,FB190906C00190000,09/06/2019,26826
15:16:45,CALL,A,SWEEP,190,FB191115C00190000,11/15/2019,695460
15:27:51,CALL,A,SWEEP,190,FB191115C00190000,11/15/2019,929905
16:27:38,PUT,AA,TRADE,160,FB200320P00160000,03/20/2020,330000
16:33:11,CALL,A,TRADE,210,FB191115C00210000,11/15/2019,133050